,Helipad_number,FAA_index,latitude,longitude,zoom,groundtruth,category,minX,minY,maxX,maxY,url
0,0,19,61.21270278,-149.8265833,20,TRUE,0,35,50,578,594,"http://maps.googleapis.com/maps/api/staticmap?center=61.21270277777778,-149.82658333333333&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
3,3,26,61.23538333,-149.749275,20,TRUE,1,89,94,589,588,"http://maps.googleapis.com/maps/api/staticmap?center=61.23538333333333,-149.74927499999995&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
5,5,32,61.18903056,-149.8218306,20,TRUE,2,40,1,625,419,"http://maps.googleapis.com/maps/api/staticmap?center=61.18903055555555,-149.82183055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
11,17,183,58.97168056,-135.222025,20,TRUE,3,159,135,466,463,"http://maps.googleapis.com/maps/api/staticmap?center=58.971680555555565,-135.222025&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
12,19,217,64.83085556,-147.6604556,20,TRUE,1,8,7,607,621,"http://maps.googleapis.com/maps/api/staticmap?center=64.83085555555556,-147.66045555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
24,41,463,61.56224444,-149.260325,20,TRUE,4,185,199,464,442,"http://maps.googleapis.com/maps/api/staticmap?center=61.56224444444444,-149.260325&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
27,45,534,60.10579444,-149.4462556,20,TRUE,1,186,360,414,558,"http://maps.googleapis.com/maps/api/staticmap?center=60.105794444444456,-149.44625555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
28,47,563,60.49265278,-151.0789389,20,TRUE,1,64,79,566,571,"http://maps.googleapis.com/maps/api/staticmap?center=60.49265277777778,-151.07893888888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
33,53,654,61.13661111,-146.3453889,20,TRUE,1,178,6,635,519,"http://maps.googleapis.com/maps/api/staticmap?center=61.13661111111111,-146.34538888888892&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
37,57,772,33.62638889,-85.96722222,20,TRUE,other,130,170,404,382,"http://maps.googleapis.com/maps/api/staticmap?center=33.62638888888889,-85.96722222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
38,58,774,33.65600556,-85.82444444,20,TRUE,1,244,247,389,383,"http://maps.googleapis.com/maps/api/staticmap?center=33.65600555555555,-85.82444444444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
39,59,776,33.27721667,-85.82481944,20,TRUE,1,275,275,373,359,"http://maps.googleapis.com/maps/api/staticmap?center=33.27721666666667,-85.82481944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
40,60,779,34.80281667,-86.98060556,20,TRUE,4,228,278,397,430,"http://maps.googleapis.com/maps/api/staticmap?center=34.802816666666665,-86.98060555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
41,61,783,30.94861111,-87.74555556,20,TRUE,other,223,338,414,513,"http://maps.googleapis.com/maps/api/staticmap?center=30.948611111111113,-87.74555555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
42,62,786,33.37155833,-86.99100556,20,TRUE,1,215,232,401,403,"http://maps.googleapis.com/maps/api/staticmap?center=33.37155833333333,-86.99100555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
43,63,787,33.51954972,-86.81360111,20,TRUE,9,38,296,236,493,"http://maps.googleapis.com/maps/api/staticmap?center=33.519549722222216,-86.81360111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
44,64,788,33.49760583,-86.84637944,20,TRUE,5,130,207,327,382,"http://maps.googleapis.com/maps/api/staticmap?center=33.49760583333333,-86.84637944444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
45,65,791,33.46407222,-86.77286944,20,TRUE,1,213,221,410,398,"http://maps.googleapis.com/maps/api/staticmap?center=33.464072222222235,-86.77286944444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
46,66,792,33.53578333,-86.81140556,20,TRUE,2,218,142,357,289,"http://maps.googleapis.com/maps/api/staticmap?center=33.53578333333333,-86.81140555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
47,66,792,33.53578333,-86.81140556,20,TRUE,2,279,347,425,504,"http://maps.googleapis.com/maps/api/staticmap?center=33.53578333333333,-86.81140555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
